Customer ID,Product ID,Product bought,Qty bought,Price per item,
1,1,Pen Set,62,4.99,
2,2,Binder,29,1.99,
3,1,Pen Set,55,12.49,
4,2,Binder,81,19.99,
5,1,Pen Set,42,23.95,
6,3,Pencil,35,4.99,
7,4,Desk,3,275,
8,4,Desk,2,125,
9,4,Pencil,7,1.29,
10,1,Pen Set,16,15.99,
11,5,Pen,76,1.99,
12,2,Binder,28,8.99,
13,2,Binder,57,19.99,
14,5,Pen,64,8.99,
15,3,Pencil,14,1.29,
16,5,Pen,15,19.99,
17,2,Binder,11,4.99,
18,1,Pen Set,96,4.99,
19,2,Binder,94,19.99,
20,3,Pencil,67,1.29,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,